id,name,type,starting_price,rating,address,telephone,lat,long,image_path
1,กรีนโฮเต็ล แอนด์ รีสอร์ท ขอนแก่น,โรงแรม,689,4.2,หมู่ที่ 4 179/160 ถนน ประชาสโมสร อำเภอเมืองขอนแก่น ขอนแก่น 40000,043247222,16.43527413,102.8615297,/images/ที่พัก/1.jpg
2,โรงแรมแอดลิบ ขอนแก่น,โรงแรม,3695,4.7,"Khon Kaen Innovation Centre 999 Srichan Road Nai Muang Muang, ขอนแก่น 40000",043100555,16.43013347,102.8322862,/images/ที่พัก/2.jpg
3,โรงแรมเกิดมานอนขอนแก่น,โรงแรม,701,4.8,"140/414 หมู่ที่14 ซอยวัดป่าอดุลยราม 7/12, อ.เมือง, ขอนแก่น 40000",0647015698,16.46446088,102.8238795,/images/ที่พัก/3.jpg
4,Baan wira บ้านวิรา ห้องพัก,รีสอร์ท,528,4.7,ซอย มิตรภาพ 25 ในเมือง เมือง ขอนแก่น 40000,0894170317,16.46627172,102.8329347,/images/ที่พัก/4.jpg
5,โรงแรมบีทู ขอนแก่น พรีเมียร์,โรงแรม,707,4,25 21 ถนน ประชาสำราญ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000,043000101,16.42845106,102.8293448,/images/ที่พัก/5.jpg
6,โรงแรมขอนแก่นออร์คิด,โรงแรม,722,4.2,149 96 ถ. มิตรภาพ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000,043246068,16.43577799,102.8234654,/images/ที่พัก/6.jpg
7,โรงแรมบีทู ขอนแก่น บูติค แอนด์ บัดเจท,โรงแรม,616,4.3,444 หมู่ 4 ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000,043000066,16.43071911,102.8416064,/images/ที่พัก/7.jpg
8,โรงแรมบีทู ขอนแก่น ตลาดอู้ฟู่ พรีเมียร์,โรงแรม,664,4.5,"790, ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000",043000850,16.411418,102.8164077,/images/ที่พัก/8.jpg
9,โรงแรมฮ็อป อินน์ ขอนแก่น ถนนมิตรภาพ,โรงแรม,860,4.5,470 ตำบล เมืองเก่า อำเภอเมืองขอนแก่น ขอนแก่น 40000,026592899,16.40837163,102.8163648,/images/ที่พัก/9.jpg
10,อวานี ขอนแก่น โฮเทล แอนด์ คอนเวนชั่นเซ็นเตอร์ (Avani Khon Kaen Hotel & Convention Centre),โรงแรม,2005,4.5,หมู่ที่ 4 999 ถนน ประชาสโมสร อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,043209888,16.43775042,102.8463333,/images/ที่พัก/10.jpg
11,Momento Hotel and Cafe',โรงแรม,1190,5,26 58 ถ. ชาตะผดุง ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,0955794322,16.42766571,102.8514394,/images/ที่พัก/11.jpg
12,เดอะเอสบล็อค คอนโดเทล,โรงแรม,1270,4.4,Thesblockcondotel ตำบลบ้านเป็ด อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,0931056868,16.43297846,102.8072995,/images/ที่พัก/12.jpg
13,Nadee 10 Resort & Hotel,โรงแรม,1585,4.6,"95, 59 ถนน เหล่านาดี ในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย",043227999,16.41235752,102.8224618,/images/ที่พัก/13.jpg
14,L2 Hotel,โรงแรม,2497,4.3,88 222 ซอย เหล่านาดี 6 ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,0950727744,16.41256335,102.824629,/images/ที่พัก/14.jpg
15,โรงแรมกราเซียร์ ขอนแก่น,โรงแรม,1075,3.8,141 ถนน ประชาสำราญ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,043334999,"16.427698672045075,",102.8291402,/images/ที่พัก/15.jpg
16,เดอะ เทอร์มินอล ขอนแก่น โฮเทล,โรงแรม,1299,4.3,181 44 ถนน เหล่านาดี ในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,043227000,16.4145704,102.8216288,/images/ที่พัก/16.jpg
17,โรงแรมโฆษะ ขอนแก่น,โรงแรม,1276,4.2,250 252 ถ. ศรีจันทร์ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,043320320,16.42958941,102.8321594,/images/ที่พัก/17.jpg
18,โรงแรมพูลแมน ขอนแก่น,โรงแรม,2589,4.4,"9, 9 Prachasumran Road, ตำบลในเมือง Muang, ขอนแก่น 40000 ไทย",043913333,16.42903371,102.8302711,/images/ที่พัก/18.jpg
19,โรงแรมเจริญธานี ขอนแก่น,โรงแรม,1275,4.1,260 ถ. ศรีจันทร์ ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,043220400,16.42952766,102.8330177,/images/ที่พัก/19.jpg
20,DM-INN KHON KAEN,โฮสเทล,1862,4,444 หมู่ 21 ตำบล ศิลา อำเภอเมืองขอนแก่น ขอนแก่น 40000 ไทย,0659521666,16.46834015,102.8364543,/images/ที่พัก/20.jpg
